name,system
"'1 января примерно в17час моя жена на котке сломала ногу. По звонку я приехал на авто машине.Там еже оказывали помощь. Перелом был тяжёлый. Скорую вызвали сразу. Я снял с вагоньчика двери, положили Яну на неё и перенесли ближе к дороге. Я позвонил в скорую помощь, но тут выяснилось что скорая к нам не едет и в ближайшее время не придёт. С большим трудом удалось поместить Яну на заднее сидение. Большое спасибо всем людям которые помогли. Один я бы ничего не сделал. Каждое движение принсило неимоверную боль. Даше я отвез жену в приёмную хирургию г Краснокамска. В приеной нахолась мед сестра и деж. врач, которые не вышли и не посмотрели мою жену. Я говорил что перелом тяжёлый и состояния у жены плохое. Один я ее не могу вытащить из машины. У неё болевой шок. Проходит 20 минут, выясняется что хирурга травмотолога в больнице нет. Звоню по больницам где есть хирург. В Краснокамске нам говорят неси сам или вези куда хочешь. Везу в Закамск 11 мед санчасть. В Закамске нас уже встречали. Помогли достать из машины, поставили укол. Была сделана операция . Всё обошлось. Скорая помощь пришла только через 1,5 часа. Я считаю, что за такую мед помощь Краснокамской больнице надо вырозить благодарность в """" """" """" ***** Больше спасибо 11 мед части!!!!!!!! Неужели в Краснокамске вся медицина похерена? Ещё раз спасибо всем кто помог!!!!!!!!!",Здравоохранение/Медицина
"'Здравствуйте, подскажите когда зарплата учителя станет достойной? Ставка учителя меньше МРОТ это просто смешно...",Образование
"'На Веденеева 88 , 92 , детскую площадку не видно из-за деревьев.... Площадка на три дома и в нормальное безопасное состояние её привести не могут",Благоустройство
'Доброе утро,Мобилизация
"'У на между остановками на гусарова дорога. Так тротуар весь во льду. Я два раза брякалась, ладно машины останавливались, а еще сын на снегокате. Вот кому писать об этом?",Дороги
'Как отправиться учителем добровольцем на Донбасс в следующем учебном году?,Безопасность
"'Здравствуйте, я бы хотела узнать, когда начнут выдавать пособия детям мобилизованных? На одну зарплату тяжело мне прокормить, одеть, обуть детей. Я понимаю, что муж находится в учебке, а нам то как жить ?",Мобилизация
"'Опять все с бухты- Барахты. Уже несколько раз проводят транспортную реформу, а по факту ничего опять не продумали. Сколько можно уже? Маршруты поменяли, теперь бесплатные пересадки отменяют. Сколько же будет стоить поездка на работу с пересадками? Издевательство просто. Кондукторов убрали, вроде бы должны быть экономия, а по факту что? Опять денег нет?",Общественный транспорт
"'[id262156248|Татьяна], Добрый день. Подскажите пожалуйста будет ли в планах проверить комплекс пермские медведи,мы любители лыжного спорта не понимаем почему должны платить за вход на трассу)за плату место для переливания нет,трасса в полном объеме не готова,вход был 2 года назад 150р в будний утренний день.хорошо модель быть собственник базы взял в аренду огромное количество земли трассы,но его обязанность входит подготовить трассу,техника для этого ему выделена (денег тратить не хочет). Представьте ситуацию,в которую я вообще не могу проверить. Не буду писать фамилии,но есть у нас в крае гордость спортивная, которая хорошо себя показывет в марафонах любителей по России и он на своей родной трассе сам едет на своём снегоходе и для себя готовит трассу на медведях. Мы ведь с вами может как в старые добрые и этапы по биатлону проводить,было бы желание. Обязательно задам вопросы Елене Валерьевне ,человек занятой,но может быть услышит.это все конечно, Татьяна ни в коем случае не претензии,это просто мнение вдруг вы уже знаете про ситуацию по медведям.хотелось бы выделить Прикамье в лучшую сторону,персонал и руководство за развитие здорового образа жизни",Физическая культура и спорт
"'Здравствуйте, подскажите пожалуйста, что делать, 21.01 в пятницу у ребёнка была температура 28.5, купили тесты в аптеке на ковид, у всех положительно, позвонили на скорую, они перевели в прикреплённую больницу во фролы, оттуда звонили каждый день что приедут,,завтра,, сегодня 26.01, лечимся сами, где нам взять больничный, во фролы звоним, не отвечают, что нам делать?",Коронавирус
"'Интересно 🤔💭 а нам неделю назад на кафедре написали: в связи со снижением бюджетного финансирования ЗП снижаем..... так например, ставка доцента стала ниже на 6 000 руб в месяц.... Ну как вот это понимать?????!!!!! Видимо никак.... Буду искать четвёртую работу 😢😢😢😢😢 цены дико ростут, садик платный, врачи только платные, квартплата ростёт.... Жуть какая то и враньё кругом!!!!!!",Образование
"'Здравствуйте! Подскажите, пожалуйста, имеет ли право на выплату в 100 тыс. руб. семья добровольца, находящегося в зоне СВО?",Мобилизация
'Когда уже наладится в городе перестройка с транспортом маршрутами с номерами маршрутов с пересадками с оплатой раньше точно знал куда этот маршрут едет а сейчас все апсалютно все перевернули зачем-то все против людей,Общественный транспорт
"'Пермь г, +79223502802. Какой режим работы у ковидной бригады?",Связь и телевидение
"'Добрый вечер,Дмитрий Махонин сказалчто вы не можете со мной связаться",Связь и телевидение
"'Добрый день, ранее писала заявление на выплату несовершеннолетним детям мобилизованного. как можно узнать решение комиссии и дату выплаты денежных средств?",Мобилизация
"'двор по улице Александра Пархоменко дом 20,микрорайон Чапаевский Орджоникидзевского района никто почему-то не хочет ремонтировать.Когда уже будут думать о людях микрорайона Чапаевский!?КОГДА НАЧНУТ ЕГО КОНТРОЛИРОВАТЬ!???",Благоустройство
"'Уважаемая Администрация города Лысьвы, ответьте мне пожалуйста на вопрос, почему необходима реконструкция НОВОГО бассейна? Кто одобрил такой проект?",Физическая культура и спорт
"'Сделайте пожалуйста новую коробку тогда. Мы все ей активно пользуемся , весь ЖК",Физическая культура и спорт
'Скажите пожалуйста когда будут давать кюар код за наличие антител.,Коронавирус
"'Марафон - это хорошо, но...водители столкнулись с тем, что весь центр перегорожен, пути объезда не понятно где. В результате мы кружили в пробках по центру, пытаясь отвезти внука в цирк. Пришлось высадить в районе института культуры, надеясь, что хоть и с опозданием, но доберутся на трамвае... Нет. Трамваи не ходят. Ребёнок первый раз в жизни поехал в цирк! Опоздают на полчаса минимум. это ужасно. Неужели нельзя продумывать такие крупные мероприятия так, чтоб жители Перми не страдали?!",Физическая культура и спорт
'Хоть бы отопление включили в школах и садиках.,Образование
"'У нас такая же ситуация , тоже заставляют делать экспертизу за свой счёт , в квартирах поставили деревянные балки чтобы не рухнул потолок , несущие стены в трещинах что с соседями за руку поздороваться можно , весь дом в маячках причем это уже наверное четвертые они срабатывают раз в пол года и на их месте появляются новые , администрация индустриального района не желает признавать дом аварийным , а ЕГЖН и МЧС на совещании говорили что дом аварийный но увы администрация не хочет этого признать",Социальное обслуживание и защита
"'Хотелось бы поднять вопрос об учителях БСШ 2. Особенно про учителя русского языка и литературы старших классов. Имя писать не будем. Может поймут про кого идет речь. Вы почему оцениваете детей по их внешности и поведению и как они учились. Может ученик понял все и хочет поменяется в лучшую сторону. Исправить свои оценки. Почему вы детям не даете такой возможности а тупо игнорируте. Дети стараються чтобы исправиться а вы просто этого не замечаете сидите на уроке, вместо того чтобы слушать учеников орете на них. Вы бы дослушали, посмотрели бы ДЗ. А вы просто уберете в сторону то что написали дети и сразу говорите не правильно и сразу же плохая оценка. Вы проверьте сначала может там все нормально. С интернета списали не правильно, если сам написал свои мысли изложил. Вы чего от детей требуете ? Дети уже тупо не хотят на ваш урок и делатьДЗ. А зачем если вы даже не проверяте и не слушаете их. Мы бы тоже к вам на урок не пошли. Докапываетесь каждой мелочи. Умеете орать только. Сейчас скажете а че с ней лично не поговорите. А с ней не возможно разговаривать. На род.собраниях пытались она и там только орала, вся из себя. Адекватно она не умеет вести не с учениками ,не с родителями. Может она здесь прочитает и дойдет до нее или руководство школы что то предпримет. И детей до слез своим ором не надо доводить. Не хотите нормально учить , не учите. Найдутся другие учителя. На психику детей давить не надо. Дайте детям шанс исправится. Из за вас они учится не хотят. А потом наезды на родителей типо ваш ребёнок плохо учиться. Анон",Образование
"'Здравствуйте, вы пишете, что с признаками ОРВИ должны делать тесты, почему в с. Гамово Пермский район доктор говорит, что возможности тестирования нет, получается, ребёнку ехать на двух автобусах с плохим самочувствием в частную клинику?",Коронавирус
"'Необходимо развязку дорог сначала сделать, а то пробки в Закамске будут обеспечены",Дороги
'Где обещанный городской автобус по городу Губаха? Обещали пустить с 1 июля года а на дворе уже август...,Общественный транспорт
"'[club101328034|Фонд капитального ремонта Пермского края], Это касается и пос.Северного.Раздолбали дом и бросили.Мусор почти год лежит.Я так считаю,что не нужно платить за капремонт.Что вы делаете? Да ничего.Сколько лет стоят дома без капремонта?Фонд,это фонд.И не должны жильцы вносить принудительно.Куда деньги уходят? Управляющие меняются.Нагребли в корман и банкрот,следующие и т.д.",ЖКХ
"'Добрый день! Вы реально над людьми издеваетесь, у нас у коллеги заболела жена, у неё взяли мазок, результат положительный, её и детей на карантин закрыли, а мужу сказали что может ходить на работу дальше, потому что он привытый! А переносчиком он быть не может?",Коронавирус
"'Почему ООО «Отлов» , работающий по договору с администрацией , не принимает меры ?",Безопасность
"'Добрый день!<br>Подскажите, пожалуйста, когда будет приримать педиатр в Верхней Курье? У нас и так обделенный район, всех узких специалистов и анализы надо проходить на Лебедева или Грачева. Очень ждем педиатра у нас в В.Курье!",Здравоохранение/Медицина
'Здравствуйте. Город Чайковский . 27.08 положительный тест . Ковидная бригада на сегодняшний день не приехала . Есть хронические заболевания . К кому обращаться ? И как быть ?,Коронавирус
"'Это не в воде и не в сосульках, живу на 5 этаже и муж поднимался с рабочими, это конденсат, почти все вытяжки сломаны и все тепло остаётся на чердаке. А управляющая компания твердила что дело в сосульках! Их сбили и за ночь они опять наросли.",ЖКХ
'На Законодательном уровне разрешено повышать 2 раза в год - это январь и июль. С какой стати поднимают стоимость услуги сейчас???,Мусор/Свалки/ТКО
'А по Суворова 44 ещё не дали,ЖКХ
"'Кунгурский муниципальный округ д.Мериново вообще никаких площадок, мусор вывтзим самостоятельно, есть накладные по утилизации, оставьте нас в покое со своими счетами и угрозами, я не заключала с вами никаких договоров. Нужны деньги выезжайте, заключайте договора с населением,а потом присылайте счета. БЕСПРЕДЕЛ!!!",Мусор/Свалки/ТКО
'Предотвратите ещё пожалуйста бродячих собак - уже невозможно ходить по Лысьве!!!!,Безопасность
"'Здравствуйте,можно ли узнать про расселение на улице Жданова 15 ,дом признан аварийным уже с 2018 года, службы жэк осматривают дом, можно сказать каждую неделю , но движения практически нет ,дом уже на половину износ, по сроку своей службы простоял ,а сейчас с со стороны жэк и администрации просто приходят с комиссией и ждут по дом упадет ,в связи с аварийным домом всем жильцам пришлось уехать в съемные квартиры.",Социальное обслуживание и защита
"'[id270479433|Сергей], ну да и вернуть маршруты, которые укоротили. Тр№6 чтоб ездил до Висима!",Общественный транспорт
"'Спасибо, какие льготы по проезду для ветерана труда не достигшего возраста по старости?",Социальное обслуживание и защита
'Высокообразованные юристы ТКО составили исковое заявление на неизвестного собственника в непонятно какой суд😁😁😁,Мусор/Свалки/ТКО
'Здравствуйте подскажите пожалуйста как и где можно оформить социальную стипендию? Спасибо.,Образование
'Почему в г.Лысьва закрыли на карантин физ.кабинет в детской больнице? Лечение только начали и нам отказали .Сказали продолжать после карантина.! Так что за толку будет от такого лечения ???,Здравоохранение/Медицина
"'доброе утро.подскажите, пож., в условиях ковид как человеку с хроническими заболеваниями, которому необходим ежемесячный контроль крови, ходить за направлениями и узнавать результаты, посещать узких специалистов, если записи просто ни к кому нет.Почему нельзя узнввать результаты анализов хотя бы через Госуслуги в личном кабинете",Здравоохранение/Медицина
"'Зачем заморачиваться?Вот так можно просто толкнуть баки на придомовую территорию ,где проходят линии водопровода,газа и ЛЭП !<br>Пресс служба Пермского края,ждём Вашей помощи!",Мусор/Свалки/ТКО
"'Добрый вечер, хотел узнать насчёт галевое поле В Орджоникидзе, там сейчас зимой ледовый каток. Хотелось бы чтобы он был там! Народ ходит катается зимой. Пустили слухи что каток будет последний сезон. Потом это поле отберёт стройка.",Физическая культура и спорт
"'[club57433185|Пермь Первая], также недостаточное освещение на пешеходном переходе по ул. Черняховского 51, у лицея 5. Там очень далеко стоит фонарь освещения от перехода, в итоге на переходе темно.",Дороги
"'77,32",Общественный транспорт
'Когда улицу Балахнина отремонтируйте??? Устали ждать и слышать обещания.,Дороги
"'Здравствуйте! Опять многострадальный лес у 5 каховской 8б. Если идти по тропинке в сторону остановки , которая в город , справа в лесу огромная сосна переломилась и в середине и макушка у земли.",Благоустройство
"'По ул.яблочкова от куйбышева в сторону солдатова тоже постоянно стая бегает собак 6,7, они не нападают,но большие все,их подкармливают в этом районе значит,проехать по базам в этом мкр посмотреть.",Безопасность
"'Здравствуйте,около нашего дома устроили настоящую свалку,ее уже поджигали. Мкр-н новые Ляды Чусовская д12",Мусор/Свалки/ТКО
"'Где информация о маршрутах? Почти два года идёт транспортная реформа в городе, появились новые маршруты, старые, давно известные идут непонятно как, совершенно по-новому, прямые рейсы которые всех устраивали, ходят непонятно как, прямые рейсы убрали, а за пересадки платить дорого!Спасибо госпоже Гаджиевой за инициативу! Сначала развалила образование, теперь транспорт - что дальше? Неужели нельзя какую-либо информацию, хотя бы на простых листочках написать, куда следует маршрут, с какими остановками, это неуважение к нам с вами, уважаемые пассажиры! И увеличение интервалов движения чем вызвано? У нас не Сочи, 30 минут ожидать холодно, а потом в битком набитом автобусе стоять- какая уж там социальная дистанция?",Общественный транспорт
"'Добрый день , подскажите сколько действует сертификат на оплату детского лагеря ?",Образование
"'По улице Войкова сил не хватило досыпать, мост посыпали и всё. Порядок. Дальше ходить очень скользко.",Дороги
"'Здравствуйте, Министр ""зазаборного"" спорта Прикамья. Да, именно, ""зазаборного"". Сам живу в микрорайоне Вышка-2. У нас есть стадиончики, только на площадках школ. Там есть дорожка, спортивные снаряды, шведские стенки, турники. Даже бассейн. НО!!!!???? Они все за забором, закрыты администрациями школ. Видимо, для избранных. Без свободного доступа жителям. Стоят, пустуют летом стадионы. А был бы Настоящий Министр. То были на наших стадиончиках разные спортивные соревнования, мероприятия, праздники, дни физкультурника. А сейчас там тишина... Изредка, конечно, ""втихаря"" перелазят бойкие бабули -красутули со скандинавской ходьбой. Иногда, получается и мне проникать через забор, чтоб позаниматься зарядкой. Хоть, под 70 лет уже. Однако, стыдно. Какой пример показываю добропорядочным гражданам и молодёжи. Лазить по заборам за здоровьем. У меня вопрос. Когда откроются на Вышке-2 ( да и по всей Перми) Нормальные Народные стадионы, бассейны для жителей микрорайона. Чтобы молодежь тянулась к спорту, а не к пьянству и наркоте. Вот. Займитесь делом. А не "" трескотней"" слов. Откройте стадионы, бассейны, организуйте праздники жизни. Тогда появится рост, а не убыль населения. Займитесь Делом.<br>Буду рад скорым переменам.",Физическая культура и спорт
"'Может прекратите писать нереальное количество заболевших ковидом? Уже 80% поставили прививки, что ещё надо вам? Сами мы уже поставили, вот детям не дадим ставить. Пошлите вы ка подальше. Молодёжь то пусть живёт. Зажрались совсем, обезумились от денег. Какие вы ненасытные депутаты! Сами то вы, депутаты получаете по миллиону, а нам ставите прожиточный минимум 13 тысяч. Это что деньги? Как можно прожить? Поживите ка сами, дайте нам достойную зарплату и пособие по безработице как у вас. И тогда сами посмотрите и поймёте, какого людям жить на копеечной зарплате. А вообще, лучше не пишите про заболеваемость ковидом! Хватит!!! Аж тошнит от этой ерунды.",Коронавирус
'Только до чищенного сложно добраться...,Дороги
"'Здравствуйте. Моя мама - пенсионер, 64 года, не работает. Не является инвалидом, но согласно закону, всем пенсионерам положено санаторное лечение 1 раз в год. Как ей подать заявление на получение бесплатной путевки в санаторий?",Социальное обслуживание и защита
'Здравствуйте скоро троица. Люди на кладбище перед этим пойдут.Обрабатывалось ли в этом году кладбище от клещей.?И когда будет обработано?,Безопасность
'Сообщение без текста,Дороги
"'Здравствуйте, а что за пособие за три месяца",Социальное обслуживание и защита
"'Здравствуйте, скажите пожалуйста, если я брала соцконтракт под трудоустройство и трудную жизненную ситуацию, перестанут ли мне его выплачивать, если сейчас уволюсь с работы по причине оформления инвалидности на ребенка дошкольника?",Социальное обслуживание и защита
'В Оверятах даже машина проехать не может. Сегодня до больницы с детьми не смогли проехать. Даже пешком идти было невозможно. ((( Во дворах ужас. И пешком и на машине не возможно проехать и пройти. Автобус со школы выехать не смог за детьми.Дети стояли на остановках. Позор👎👎👎,Дороги
"'[id163808723|Ирина], вчера простояла с 12 до 18 часов. Такого ужаса я ещё не видела. Бабушки и дедушки просто уходят тихо помирать домой, а скорая не едет...",Здравоохранение/Медицина
"'[club183771914|Александровск Официально], вот только размеры поля нестандартные - для футбольного поля минимальная ширина должна быть не менее 45 метров. А это значит, что наши ребята не смогут на этом поле играть официальные матчи - все игры на выезде...",Физическая культура и спорт
"'Здравствуйте, как изменить собственника в квартире? Губаха",Мусор/Свалки/ТКО
"'А вот нам повезло со старшей по дому!! Ходит веником лужи подметает, площадки детской вообще нету, все довольны👍👍👍🤣",Благоустройство
"'Можно ещё узнать в связи с чем поменяли расписание автобуса Пожва-Пермь, который с Пожвы утром выезжает?Люди на этом автобусе ездили на работу, на учёбу.А теперь приходится опаздывать.",Общественный транспорт
'Лучше бы уж тогда отменили бесплатные пересадки. И вернули прежние маршруты.,Общественный транспорт
"'Добрый день, подскажите пожалуйста,в августе заканчиваются выплаты с 3 до 7 лет,мне нужно уже сейчас подавать заявление на продление выплаты?",Социальное обслуживание и защита
'На каком основании идёт принуждение к регистрации школьников на цифровых платформах типа РЭШ? Имели несчастье столкнуться с этой платформой в ковид. Отвратительная платформа с кучей ошибок.,Образование
'Доброе утро. Подожди пожалуйста у меня четверо детей муж находится на теретории Украины подавала документы на статус малоимущей семьи мне отказали в данной услуги. Что делать,Мобилизация
"'Добрый вечер, до какого надо это сделать?",Связь и телевидение
"'Да, подтверждаю",Социальное обслуживание и защита
'Уже неделю нет отопления на кухне и в ванной. Нагорный,ЖКХ
"'Пермь г, +79097287731. Здравствуйте, в г. Перми выдают Сертификат на дополнительное дошкольное образование? Сертификат на детей?",Образование
"'Еще бы время написали для каждого забега. А то когда переходишь по ссылке, попадаешь на страницу с информацией, что забег в Краснокамске, да еще и 10 сентября. И чтобы докопаться до нужной информации, нужно 100500 раз потыкать, зайти в положение, и только там есть время забегов и адреса.",Физическая культура и спорт
"'Добрый день. Сдали мазок ребенку в четверг утром в Закамске, на М. Рыбалко 44. Ждем СМС с результатом. Обещали в пт вечером. Как можно узнать",Коронавирус
